company,source,page,unit,side,block,row_index,item,col_index,equity_component,is_total_col,kind,value
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,9,ทุนสารอง,False,balance,7000000.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,balance,351810144.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,11,รวมส่ วนที่เป็ น,False,balance,422492518.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,balance,327619.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,13,รวม,True,balance,422820137.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,balance,6412.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,หุน้ สามัญ,False,balance,33985510.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,ส่ หุน้ บุริมสิ ทธิ,False,balance,2508.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,balance,11121683.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,กาไร จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,balance,372024.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,กาไร (ขาดทุน) จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,balance,-887667.0
SCB,1q26-financial-statement-note-th_SCB.pdf,10,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,6,งบการเงินรวม องค์ประกอบอื่นของส่ วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,balance,1098376.0
