company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,โอนสารองสาหรับการป้ องกันความเสี่ ยง ในกระแสเงินสดไปยังต้นทุนงานระหว่างทา,โอนสารองสาหรับการป้ องกันความเสี่ ยง ในกระแสเงินสดไปยังต้นทุนงานระหว่างทา,SE_HEDGE_TO_WIP,SE_HEDGE_TO_WIP,1.0,8253.0,5674.0,8253.0,5674.0
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,โอนสารองสาหรับการป้ องกันความเสี่ ยงใน กระแสเงินสดที่โอนไปยังกาไรหรื อขาดทุน,โอนสารองสาหรับการป้ องกันความเสี่ ยงใน กระแสเงินสดที่โอนไปยังกาไรหรื อขาดทุน,SE_HEDGE_TO_PL,SE_HEDGE_TO_PL,1.0,33.0,5.0,33.0,5.0
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนำคม 2569,ยอดคงเหลือ ณ วันที่ 31 มีนำคม,SE_CLOSING,SE_CLOSING,1.0,2715183.0,2682878.0,2483329.0,2477882.0
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,7",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,ยอดคงเหลือ ณ วันที่ 1 มกราคม,SE_OPENING,SE_OPENING,1.0,1652483610295.0,1656877084659.0,663866596785.0,677784392923.0
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,6",งบรวม+งบเฉพาะกิจการ,ของบริษัทย่อย 15,ของบริษัทย่อย 15,,,0.667,18899704233.0,,,
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,6,งบรวม,เงินปันผลจ่ายของบริษัทย่อย,เงินปันผลจ่ายของบริษัทย่อย,,,0.8,-6710837072.0,-8352117050.0,,
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,6,งบรวม,การเพิ่มทุนของบริษัทย่อย,การเพิ่มทุนของบริษัทย่อย,,,0.6,8785276.0,24377601.0,,
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,6,งบรวม,สินทรัพย์สทุ ธิของบริษัทร่วม,สินทรัพย์สทุ ธิของบริษัทร่วม,,,0.645,322561814.0,,,
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,7",งบรวม+งบเฉพาะกิจการ,กาไรสาหรับงวด,กาไรสาหรับงวด,NET_PROFIT,NET_PROFIT,1.0,41623449904.0,31814222870.0,20879146869.0,20300828274.0
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,7",งบรวม+งบเฉพาะกิจการ,กาไรเบ็ดเสร็จอื่นสาหรับงวด,กาไรเบ็ดเสร็จอื่นสาหรับงวด,,,0.889,32658763582.0,,114464761.0,
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,7",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,SE_CLOSING,SE_CLOSING,1.0,1738711272687.0,1677850139129.0,684860208415.0,695358960617.0
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,7",งบรวม+งบเฉพาะกิจการ,หุ้นทุนซื ้อคืน,หุ้นทุนซื ้อคืน,TREASURY_STOCK,TREASURY_STOCK,1.0,,-2555643437.0,,-2555643437.0
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,6,งบรวม,การเปลี่ยนแปลงส่วนได้ เสียในบริษัทย่อย,การเปลี่ยนแปลงส่วนได้ เสียในบริษัทย่อย,,,0.719,,74517714.0,,
PTT,FINANCIAL_STATEMENTS_PTT.pdf,SE,baht,"6,7",งบรวม+งบเฉพาะกิจการ,กาไร(ขาดทุน)เบ็ดเสร็จอื่นสาหรับงวด,กาไร(ขาดทุน)เบ็ดเสร็จอื่นสาหรับงวด,OCI_TOTAL,OCI_TOTAL,1.0,,-32303228.0,,-170617143.0
STANLEY,Thai-Stanley_Q1_June69-T1-1.pdf,SE,unknown,"7,7,8,8",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือต้นรอบระยะเวลา ณ วันที่ 1 เมษายน พ.ศ. 2568,ยอดคงเหลือต้นรอบระยะเวลา ณ วันที่ 1 เมษายน พ.ศ. 2568,,,0.415,21399798962.0,,19690523684.0,
STANLEY,Thai-Stanley_Q1_June69-T1-1.pdf,SE,unknown,"7,7,8,8",งบรวม+งบเฉพาะกิจการ,กําไร(ขาดทุน)เบ็ดเสร็จรวมสําหรับรอบระยะเวลา,กําไร(ขาดทุน)เบ็ดเสร็จรวมสําหรับรอบระยะเวลา,,,0.826,333686447.0,,704924287.0,
STANLEY,Thai-Stanley_Q1_June69-T1-1.pdf,SE,unknown,"7,8,8",งบรวม+งบเฉพาะกิจการ,เงินปั นผลจ่าย,เงินปั นผลจ่าย,SE_DIVIDEND,SE_DIVIDEND,1.0,-919500000.0,,-919500000.0,
STANLEY,Thai-Stanley_Q1_June69-T1-1.pdf,SE,unknown,"7,7,8,8",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือสิ้ นรอบระยะเวลา ณ วันที่ 30 มิ ถนุ ายน พ.ศ. 2568,ยอดคงเหลือสิ้ นรอบระยะเวลา ณ วันที่ 30 มิ ถนุ ายน พ.ศ. 2568,,,0.379,20813985409.0,,19475947971.0,
STANLEY,Thai-Stanley_Q1_June69-T1-1.pdf,SE,unknown,7,งบรวม,เงินปั นผลค้างจ่าย 16,เงินปั นผลค้างจ่าย 16,,,0.889,-1302625000.0,,,
CPF,pdf_th_FINANCIAL_STATEMENTS_CPF.pdf,SE,thousand,"9,10,11",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,ยอดคงเหลือ ณ วันที่ 1 มกราคม,SE_OPENING,SE_OPENING,1.0,251859488.0,293223542.0,153192000.0,155928374.0
CPF,pdf_th_FINANCIAL_STATEMENTS_CPF.pdf,SE,thousand,"9,10,11",งบรวม+งบเฉพาะกิจการ,ซื้ อหุ ้นคืน 7,ซื้ อหุ ้นคืน 7,,,0.571,-644344.0,-47439.0,-320405.0,
CPF,pdf_th_FINANCIAL_STATEMENTS_CPF.pdf,SE,thousand,"9,10",งบรวม,เงินปั นผลจ่าย,เงินปั นผลจ่าย,SE_DIVIDEND,SE_DIVIDEND,1.0,-15217.0,,,
CPF,pdf_th_FINANCIAL_STATEMENTS_CPF.pdf,SE,thousand,"9,10,11",งบรวม+งบเฉพาะกิจการ,รวมการจัดสรรส่ วนทุนให้ ผ้ ูถอื หุ้น,รวมการจัดสรรส่ วนทุนให้ ผ้ ูถอื หุ้น,,,0.629,-659561.0,-47439.0,-320405.0,
CPF,pdf_th_FINANCIAL_STATEMENTS_CPF.pdf,SE,thousand,"9,10",งบรวม,บริ ษทั ย่อยออกหุ ้นเพิ่มทุน,บริ ษทั ย่อยออกหุ ้นเพิ่มทุน,,,0.467,740478.0,,,
